"Date","Sensex","Tata Consultancy Services","Bharti Airtel","Axis Bank","Maruti Suzuki India","HCL Technologies","UltraTech Cement","Power Grid Corporation of India","NTPC","IndusInd Bank","Bajaj Auto","JSW Steel","Wipro","Adani Enterprises"
2021-09-07,58279.48046875,3374.16625976562,635.445068359375,783.01025390625,6632.77001953125,968.171752929688,7840.75146484375,100.409858703613,94.1706695556641,970.497863769531,3364.03686523438,629.350646972656,307.933471679688,1553.20239257812
2021-09-08,58250.26171875,3338.21118164062,632.697387695312,789.918884277344,6544.32080078125,973.248291015625,7813.9619140625,102.002746582031,95.130729675293,968.220886230469,3323.13256835938,632.250244140625,302.521087646484,1551.60681152344
2021-09-09,58305.0703125,3353.82275390625,650.224975585938,785.296508789062,6560.7666015625,981.518310546875,7764.97705078125,102.356712341309,95.5899047851562,968.705383300781,3300.6064453125,634.321472167969,302.452606201172,1540.28784179688
2021-09-13,58177.76171875,3399.94970703125,659.0361328125,782.76171875,6629.34619140625,988.805725097656,7757.64404296875,102.59268951416,95.923828125,964.97509765625,3300.16040039062,639.153991699219,306.380554199219,1528.12121582031
2021-09-14,58247.08984375,3436.43603515625,657.614990234375,789.769836425781,6654.42431640625,1013.94360351562,7682.45654296875,102.651702880859,96.7586822509766,1004.26391601562,3345.6142578125,638.279541015625,307.476715087891,1511.76574707031
2021-09-15,58723.19921875,3498.04174804688,687.411926269531,786.78759765625,6663.10546875,1042.970703125,7649.89794921875,104.922996520996,103.687911987305,1021.07434082031,3371.66455078125,642.605895996094,307.864929199219,1513.31140136719
2021-09-16,59141.16015625,3451.78198242188,680.400756835938,797.771789550781,6688.4248046875,1033.84106445312,7598.02880859375,105.837448120117,103.520935058594,1096.06713867188,3400.61401367188,634.597595214844,304.964660644531,1499.10046386719
2021-09-17,59015.890625,3388.05346679688,689.875244140625,802.990600585938,6763.94970703125,1035.19201660156,7537.75146484375,105.453956604004,103.228744506836,1094.90441894531,3411.3642578125,627.831848144531,303.662933349609,1476.1630859375
2021-09-20,58490.9296875,3381.7734375,686.653930664062,790.515258789062,6707.76416015625,1044.28088378906,7406.14794921875,104.303573608398,105.113410949707,1056.58459472656,3366.66870117188,583.9697265625,302.612457275391,1416.97509765625
2021-09-21,59005.26953125,3418.56884765625,688.548828125,790.415954589844,6537.61669921875,1063.64562988281,7427.21875,103.831596374512,106.269927978516,1101.88061523438,3326.166015625,616.003295898438,304.781921386719,1437.21984863281
